icd10_code,description,encounter_count,avg_encounter_charge_usd,pct_of_primary_diagnoses
J18.9,"Pneumonia, unspecified organism",169,7335.6,7.2
I63.9,"Cerebral infarction, unspecified",165,8227.45,7.0
I50.9,"Heart failure, unspecified",164,9053.56,7.0
F32.9,"Major depressive disorder, single episode, unspecified",163,8480.77,6.9
I10,Essential (primary) hypertension,161,7875.53,6.9
S72.001A,"Fracture of neck of right femur, initial encounter",159,8427.62,6.8
R07.9,"Chest pain, unspecified",158,8707.84,6.7
E11.9,Type 2 diabetes mellitus without complications,157,7753.92,6.7
J44.9,"Chronic obstructive pulmonary disease, unspecified",156,7428.83,6.6
A41.9,"Sepsis, unspecified organism",154,7491.65,6.6
