admit_month,total_encounters,inpatient_count,outpatient_count,emergency_count,total_charges_usd,cumulative_charges_usd
2024-01,88,37,30,21,800496.26,800496.26
2024-02,105,41,42,22,891217.83,1691714.09
2024-03,95,38,39,18,829280.41,2520994.5
2024-04,105,48,43,14,967491.86,3488486.36
2024-05,112,45,41,26,951982.05,4440468.41
2024-06,94,37,47,10,734336.9,5174805.31
2024-07,113,46,49,18,880039.53,6054844.84
2024-08,118,52,50,16,1036214.54,7091059.38
2024-09,92,30,43,19,639049.94,7730109.32
2024-10,93,39,45,9,798247.63,8528356.95
2024-11,107,41,45,21,863885.07,9392242.02
2024-12,75,27,36,12,599516.45,9991758.47
2025-01,85,31,42,12,627001.66,10618760.13
2025-02,89,29,45,15,642536.21,11261296.34
2025-03,125,32,68,25,792581.7,12053878.04
2025-04,86,35,36,15,729920.59,12783798.63
2025-05,97,35,40,22,797065.98,13580864.61
2025-06,74,33,30,11,698150.29,14279014.9
2025-07,96,31,52,13,622754.88,14901769.78
2025-08,119,42,55,22,918191.33,15819961.11
2025-09,91,42,34,15,824437.81,16644398.92
2025-10,107,34,46,27,718781.25,17363180.17
2025-11,95,37,36,22,790887.18,18154067.35
2025-12,84,26,37,21,599538.65,18753606.0
2026-01,3,3,0,0,40778.37,18794384.37
